structure_id,source_uri,label,tier,subclass,is_predicted,is_reference_bank
NDM-1,pdb:3SPU,positive,1,B1,false,true
VIM-2,pdb:1KO3,positive,1,B1,false,true
IMP-1,pdb:1DD6,positive,1,B1,false,true
CphA,pdb:1X8G,positive,1,B2,false,true
Sfh-I,pdb:2QDS,positive,1,B2,false,true
L1,pdb:1SML,positive,1,B3,false,true
FEZ-1,pdb:1K07,positive,1,B3,false,true
MBU4627809.1,local:final_structures/MBU4627809.1.pdb,positive,3,B2,true,false
UBK05373.1,local:final_structures/UBK05373.1.pdb,positive,3,B3,true,false
QWJ89341.1,local:final_structures/QWJ89341.1.pdb,positive,3,B3,true,false
AYD68552.1,local:final_structures/AYD68552.1.pdb,positive,3,B3,true,false
QXM27671.1,local:final_structures/QXM27671.1.pdb,positive,3,B3,true,false
WP_213603971.1,local:final_structures/WP_213603971.1.pdb,positive,3,B3,true,false
AWN09461.1,local:final_structures/AWN09461.1.pdb,positive,3,B3,true,false
AGU01679.2,local:final_structures/AGU01679.2.pdb,positive,3,B3,true,false
MFS1702987.1,local:final_structures/MFS1702987.1.pdb,positive,3,B1,true,false
UZX27393.1,local:final_structures/UZX27393.1.pdb,positive,3,B1,true,false
WP_123865086.1,local:final_structures/WP_123865086.1.pdb,positive,3,B1,true,false
MBE7399711.1,local:final_structures/MBE7399711.1.pdb,positive,3,B1,true,false
BES62776.2,local:final_structures/BES62776.2.pdb,positive,3,B1,true,false
KYO71936.1,local:final_structures/KYO71936.1.pdb,positive,3,B1,true,false
WDE35088.1,local:final_structures/WDE35088.1.pdb,positive,3,B1,true,false
QTJ60982.1,local:final_structures/QTJ60982.1.pdb,positive,3,B1,true,false
MBS5055441.1,local:final_structures/MBS5055441.1.pdb,positive,3,B1,true,false
UPP01678.1,local:final_structures/UPP01678.1.pdb,positive,3,UNCLASSIFIED,true,false
G04,local:final_structures/G04.pdb,positive,3,B1,true,false
G06,local:final_structures/G06.pdb,positive,3,B1,true,false
G09,local:final_structures/G09.pdb,positive,3,B1,true,false
G12,local:final_structures/G12.pdb,positive,3,B1,true,false
G13,local:final_structures/G13.pdb,positive,3,B1,true,false
G27,local:final_structures/G27.pdb,positive,3,B1,true,false
G28,local:final_structures/G28.pdb,positive,3,B1,true,false
G29,local:final_structures/G29.pdb,positive,3,B1,true,false
G31,local:final_structures/G31.pdb,positive,3,B1,true,false
G33,local:final_structures/G33.pdb,positive,3,B1,true,false
G37,local:final_structures/G37.pdb,positive,3,B1,true,false
G52,local:final_structures/G52.pdb,positive,3,B1,true,false
G58,local:final_structures/G58.pdb,positive,3,B1,true,false
G63,local:final_structures/G63.pdb,positive,3,B1,true,false
G67,local:final_structures/G67.pdb,positive,3,B1,true,false
G70,local:final_structures/G70.pdb,positive,3,B1,true,false
