accession,label,subclass,neg_family,name,source,structure_source,confidence_score,source_filename,original_structure_path
MBU4627809.1,positive,B2,,PFM-4,CARD,manual_af3,0.94,MBU4627809.1.pdb,../script/data/structures/MBU4627809.1.pdb
UBK05373.1,positive,B3,,AIM-2,CARD,manual_af3,0.96,UBK05373.1.pdb,../script/data/structures/UBK05373.1.pdb
QWJ89341.1,positive,B3,,B3SU1-1,CARD,manual_af3,0.92,QWJ89341.1.pdb,../script/data/structures/QWJ89341.1.pdb
AYD68552.1,positive,B3,,LMB-1,CARD,manual_af3,0.94,AYD68552.1.pdb,../script/data/structures/AYD68552.1.pdb
QXM27671.1,positive,B3,,NWM-1,CARD,manual_af3,0.92,QXM27671.1.pdb,../script/data/structures/QXM27671.1.pdb
WP_213603971.1,positive,B3,,PJM-1,CARD,manual_af3,0.96,WP_213603971.1.pdb,../script/data/structures/WP_213603971.1.pdb
AWN09461.1,positive,B3,,PNGM-1,CARD,manual_af3,1.04,AWN09461.1.pdb,../script/data/structures/AWN09461.1.pdb
AGU01679.2,positive,B3,,Rm3,CARD,manual_af3,0.95,AGU01679.2.pdb,../script/data/structures/AGU01679.2.pdb
MFS1702987.1,positive,B1,,AMM-1,CARD,manual_af3,0.92,MFS1702987.1.pdb,../script/data/structures/MFS1702987.1.pdb
UZX27393.1,positive,B1,,BMHC-1,CARD,manual_af3,0.94,UZX27393.1.pdb,../script/data/structures/UZX27393.1.pdb
WP_123865086.1,positive,B1,,CIM-1,CARD,manual_af3,0.94,WP_123865086.1.pdb,../script/data/structures/WP_123865086.1.pdb
MBE7399711.1,positive,B1,,CfiA28,CARD,manual_af3,0.96,MBE7399711.1.pdb,../script/data/structures/MBE7399711.1.pdb
BES62776.2,positive,B1,,DYB-1,CARD,manual_af3,0.94,BES62776.2.pdb,../script/data/structures/BES62776.2.pdb
KYO71936.1,positive,B1,,HMB-2,CARD,manual_af3,0.96,KYO71936.1.pdb,../script/data/structures/KYO71936.1.pdb
WDE35088.1,positive,B1,,IND-18,CARD,manual_af3,0.94,WDE35088.1.pdb,../script/data/structures/WDE35088.1.pdb
QTJ60982.1,positive,B1,,VAM-1,CARD,manual_af3,0.92,QTJ60982.1.pdb,../script/data/structures/QTJ60982.1.pdb
MBS5055441.1,positive,B1,,crxA,CARD,manual_af3,0.88,MBS5055441.1.pdb,../script/data/structures/MBS5055441.1.pdb
UPP01678.1,positive,UNCLASSIFIED,,WUS-1,CARD,manual_af3,0.93,UPP01678.1.pdb,../script/data/structures/UPP01678.1.pdb
G04,positive,B1,,MYO-1,Berglund2017,manual_af3,0.91,G04.pdb,../positive_set/structures/G04.pdb
G06,positive,B1,,SHD-1,Berglund2017,manual_af3,0.92,G06.pdb,../positive_set/structures/G06.pdb
G09,positive,B1,,SPS-1,Berglund2017,manual_af3,0.96,G09.pdb,../positive_set/structures/G09.pdb
G12,positive,B1,,MYX-1,Berglund2017,manual_af3,0.91,G12.pdb,../positive_set/structures/G12.pdb
G13,positive,B1,,STA-1,Berglund2017,manual_af3,0.91,G13.pdb,../positive_set/structures/G13.pdb
G27,positive,B1,,ANA-1,Berglund2017,manual_af3,0.94,G27.pdb,../positive_set/structures/G27.pdb
G28,positive,B1,,ECV-1,Berglund2017,manual_af3,0.93,G28.pdb,../positive_set/structures/G28.pdb
G29,positive,B1,,ORR-1,Berglund2017,manual_af3,0.94,G29.pdb,../positive_set/structures/G29.pdb
G31,positive,B1,,FIA-1,Berglund2017,manual_af3,0.94,G31.pdb,../positive_set/structures/G31.pdb
G33,positive,B1,,G33,Berglund2017,manual_af3,0.94,G33.pdb,../positive_set/structures/G33.pdb
G37,positive,B1,,G37,Berglund2017,manual_af3,0.92,G37.pdb,../positive_set/structures/G37.pdb
G52,positive,B1,,ZOG-1,Berglund2017,manual_af3,0.93,G52.pdb,../positive_set/structures/G52.pdb
G58,positive,B1,,G58,Berglund2017,manual_af3,0.93,G58.pdb,../positive_set/structures/G58.pdb
G63,positive,B1,,TTU-1,Berglund2017,manual_af3,0.95,G63.pdb,../positive_set/structures/G63.pdb
G67,positive,B1,,PST-1,Berglund2017,manual_af3,0.94,G67.pdb,../positive_set/structures/G67.pdb
G70,positive,B1,,G70,Berglund2017,manual_af3,0.93,G70.pdb,../positive_set/structures/G70.pdb
G71,positive,B1,,G71,Berglund2017,manual_af3,0.95,G71.pdb,../positive_set/structures/G71.pdb
G74,positive,B1,,SHN-1,Berglund2017,manual_af3,0.94,G74.pdb,../positive_set/structures/G74.pdb
G77,positive,B1,,ALI-2,Berglund2017,manual_af3,0.93,G77.pdb,../positive_set/structures/G77.pdb
APR64485.1,positive,B3,,DHT2-1,Gudeta2016b,manual_af3,0.94,APR64485.1.pdb,../positive_set/structures/APR64485.1.pdb
APR64486.1,positive,B1,,SPN79-1,Gudeta2016b,manual_af3,0.9,APR64486.1.pdb,../positive_set/structures/APR64486.1.pdb
APR64487.1,positive,B3,,CRD3-1,Gudeta2016b,manual_af3,0.93,APR64487.1.pdb,../positive_set/structures/APR64487.1.pdb
APR64488.1,positive,B3,,ALG6-1,Gudeta2016b,manual_af3,0.93,APR64488.1.pdb,../positive_set/structures/APR64488.1.pdb
APR64489.1,positive,B3,,ALG11-1,Gudeta2016b,manual_af3,0.94,APR64489.1.pdb,../positive_set/structures/APR64489.1.pdb
APR64490.1,positive,B3,,ESP-2,Gudeta2016b,manual_af3,0.96,APR64490.1.pdb,../positive_set/structures/APR64490.1.pdb
APR64491.1,positive,B3,,PEDO-1,Gudeta2016b,manual_af3,0.97,APR64491.1.pdb,../positive_set/structures/APR64491.1.pdb
APR64492.1,positive,B3,,GRD33-1,Gudeta2016b,manual_af3,0.94,APR64492.1.pdb,../positive_set/structures/APR64492.1.pdb
APR64493.1,positive,B1,,GRD23-1,Gudeta2016b,manual_af3,0.96,APR64493.1.pdb,../positive_set/structures/APR64493.1.pdb
AEX08599.1,positive,B1,,NDM-6,CARD,afdb,,G9JVE6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/G9JVE6.pdb
AGT37351.1,positive,B1,,NDM-10,CARD,afdb,,S5ZIP8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/S5ZIP8.pdb
AAZ73123.1,positive,B1,,VIM-12,CARD,afdb,,Q3YBY0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q3YBY0.pdb
AFN88953.1,positive,B1,,VIM-34,CARD,afdb,,I6ZVA9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/I6ZVA9.pdb
AFP99885.1,positive,B1,,VIM-29,CARD,afdb,,J7HGI2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/J7HGI2.pdb
ABW90721.1,positive,B1,,VIM-17,CARD,afdb,,B5KVR9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/B5KVR9.pdb
AJP67511.1,positive,B1,,VIM-43,CARD,afdb,,A0A0C5KH21.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5KH21.pdb
AAS13759.1,positive,B1,,VIM-8,CARD,afdb,,Q6QUV4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q6QUV4.pdb
AWU66462.1,positive,B1,,NDM-23,CARD,afdb,,A0A2Z4BV56.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A2Z4BV56.pdb
AGE83081.2,positive,B1,,VIM-38,CARD,afdb,,M1JB36.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/M1JB36.pdb
ABR10840.1,positive,B1,,VIM-2,CARD,afdb,,Q9K2N0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q9K2N0.pdb
AAN84550.1,positive,B1,,VIM-6,CARD,afdb,,Q8GCU7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q8GCU7.pdb
BAQ02518.1,positive,B1,,NDM-13,CARD,afdb,,A0A0A8J940.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0A8J940.pdb
AWU66463.1,positive,B1,,NDM-24,CARD,afdb,,A0A2Z4BV07.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A2Z4BV07.pdb
CBY80143.1,positive,B1,,VIM-26,CARD,afdb,,E5BDC6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/E5BDC6.pdb
AAT36613.1,positive,B1,,VIM-11,CARD,afdb,,Q700T0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q700T0.pdb
AGC50805.1,positive,B1,,VIM-35,CARD,afdb,,L7UN39.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/L7UN39.pdb
AFQ31613.1,positive,B1,,NDM-7,CARD,afdb,,J7I0S9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/J7I0S9.pdb
ACB54703.1,positive,B1,,VIM-16,CARD,afdb,,B4YAJ7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/B4YAJ7.pdb
BAM84089.1,positive,B1,,NDM-8,CARD,afdb,,M1VE66.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/M1VE66.pdb
AEI25539.1,positive,B1,,VIM-28,CARD,afdb,,F8UTU0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/F8UTU0.pdb
AAN52134.1,positive,B1,,VIM-5,CARD,afdb,,Q8GKX2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q8GKX2.pdb
AYF56302.1,positive,B1,,NDM-25,CARD,afdb,,A0A5K6VNM3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A5K6VNM3.pdb
CAZ39946.1,positive,B1,,NDM-1,CARD,afdb,,C7C422.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/C7C422.pdb
ADO50679.1,positive,B1,,VIM-25,CARD,afdb,,E5G503.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/E5G503.pdb
AFK24647.1,positive,B1,,VIM-31,CARD,afdb,,I3RJZ3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/I3RJZ3.pdb
ACY29468.1,positive,B1,,VIM-19,CARD,afdb,,D2D9J0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/D2D9J0.pdb
ADX78234.1,positive,B1,,VIM-27,CARD,afdb,,F6L7B6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/F6L7B6.pdb
CAJ32502.1,positive,B1,,VIM-4,CARD,afdb,,Q8KRJ3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q8KRJ3.pdb
AEN03071.1,positive,B1,,NDM-5,CARD,afdb,,G3K399.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/G3K399.pdb
CAC87665.1,positive,B3,,CAU-1,CARD,afdb,,Q8KKG1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q8KKG1.pdb
AGU91756.1,positive,B1,,NDM-9,CARD,afdb,,T2A6Y2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/T2A6Y2.pdb
AGS82586.1,positive,B1,,VIM-39,CARD,afdb,,A0A059PYQ6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A059PYQ6.pdb
AAN63496.1,positive,B1,,VIM-1,CARD,afdb,,Q9XAY4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q9XAY4.pdb
AAA22562.1,positive,B1,,BcII,CARD,afdb,,P14488.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/P14488.pdb
ADL27533.1,positive,B1,,VIM-24,CARD,afdb,,E0AFT6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/E0AFT6.pdb
AFK80349.1,positive,B1,,NDM-3,CARD,afdb,,I3VKD5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/I3VKD5.pdb
ABC94518.1,positive,B1,,VIM-13,CARD,afdb,,Q2HY42.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q2HY42.pdb
AIY26289.1,positive,B1,,GIM-2,CARD,afdb,,A0A0A1ECK6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0A1ECK6.pdb
AEA41876.1,positive,B1,,NDM-2,CARD,afdb,,F2YZ26.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/F2YZ26.pdb
AAT48653.1,positive,B1,,VIM-14,CARD,afdb,,Q6GUL7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q6GUL7.pdb
AGC92784.1,positive,B1,,DIM-1,CARD,afdb,,L7X1X1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/L7X1X1.pdb
ACB54702.1,positive,B1,,VIM-15,CARD,afdb,,B4YAJ6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/B4YAJ6.pdb
AAG27703.1,positive,B1,,VIM-3,CARD,afdb,,Q9F629.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q9F629.pdb
AFB82585.1,positive,B1,,NDM-4,CARD,afdb,,H6WZS9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/H6WZS9.pdb
BAO79439.1,positive,B1,,NDM-12,CARD,afdb,,A0A024FRL9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A024FRL9.pdb
